Parsed result for candidate PRECINCTS COUNTED - TOTAL (000), no party, in race PRECINCTS COUNTED - TOTAL (0000) with 0 votes
Parsed result for candidate VOTERS (001), no party, in race REGISTERED VOTERS - TOTAL (0001) with 1514912 votes
Parsed result for candidate BALLOTS CAST (001), no party, in race BALLOTS CAST - TOTAL (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (002), NON party, in race BALLOTS CAST - Nonpartisan (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (003), DEM party, in race BALLOTS CAST - Democratic (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (004), REP party, in race BALLOTS CAST - Republican (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (005), GRN party, in race BALLOTS CAST - Green (0002) with 0 votes
Parsed result for candidate Donna Miller (Clinton) (008), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Michael Holmes (O'Malley) (009), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate James Patton (O'Malley) (010), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Gregory Washington (O'Malley) (011), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Kenneth Franklin (Sanders) (012), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Linda Jennings (Sanders) (013), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Tanya Watkins (Sanders) (014), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate John A. Willard (Sanders) (015), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Ndidi A. Okakpu (Sanders) (016), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Carl Camacho (Sanders) (017), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Laura M. Ortega (Sanders) (018), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Susan Sadlowski Garza (Sanders) (019), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Colleen Patricia Burns (Clinton) (001), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Michael E. Hastings (Clinton) (002), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Clarisol Duque (Clinton) (003), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Jorge Ramirez (Clinton) (004), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Shirley Madigan (Clinton) (005), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Josephine Singler (O'Malley) (006), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Nancy Heskin Jados (O'Malley) (007), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Edward D. Maloney (O'Malley) (008), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate David B. Maher (O'Malley) (009), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Matthew Lafond (O'Malley) (010), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Nathaniel Harris (Sanders) (011), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Rebecca Davies (Sanders) (012), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Daniel Buys (Sanders) (013), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Myriam Calvache (Sanders) (014), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Maureen Sullivan (Sanders) (015), DEM party, in race Delegate, National Convention 3rd DEM (0022) with 0 votes
Parsed result for candidate Soraida Gutierrez (Clinton) (001), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Raymond A. Lopez (Clinton) (002), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Milly Santiago (Clinton) (003), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Vicente ''Vince'' Sanchez, Jr. (Clinto (004), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Emanuel ''Chris'' Welch (Clinton) (005), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Barbara P. Guttmann (O'Malley) (006), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Richard Gutierrez (O'Malley) (007), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Will Guzzardi (Sanders) (008), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Andrea Perkins (Sanders) (009), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Carlos Ramirez-Rosa (Sanders) (010), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Shana East (Sanders) (011), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Álvaro R. Obregón (Sanders) (012), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Melissa Rubio (Sanders) (013), DEM party, in race Delegate, National Convention 4th DEM (0023) with 0 votes
Parsed result for candidate Sara Feigenholtz (Clinton) (001), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Rocco J. Claps (Clinton) (002), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Bridget Gainer (Clinton) (003), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Patrick Croke (Clinton) (004), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Jan Kallish (Clinton) (005), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Proco Joseph Moreno (Clinton) (006), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Angelique Hardy Heinz (O'Malley) (007), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Joseph Enright (O'Malley) (008), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Noel Chambers (O'Malley) (009), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Vittorio Gomez (O'Malley) (010), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate John S. Arena (Sanders) (011), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Rebecca Abraham (Sanders) (012), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Simone Rowen (Sanders) (013), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Troy A. LaRaviere (Sanders) (014), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Laura Sabransky (Sanders) (015), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate William J. Perry (Sanders) (016), DEM party, in race Delegate, National Convention 5th DEM (0024) with 0 votes
Parsed result for candidate Ira Acree (Clinton) (001), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Mattie Hunter (Clinton) (002), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate James F. Coyne (Clinton) (003), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Emma M. Mitts (Clinton) (004), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Larry Rogers, Jr. (Clinton) (005), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Eileen Kay Rhodes (Clinton) (006), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Michael Scott Jr. (Clinton) (007), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Anna Valencia (Clinton) (008), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate John A. West (Clinton) (009), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Tumia Romero (O'Malley) (010), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Tierra S. Jackson (O'Malley) (011), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Peggy A. Roth (O'Malley) (012), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Katrina Veerhusen (O'Malley) (013), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Anne Conderacci (O'Malley) (014), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Michael K. Forde (O'Malley) (015), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Joshua Sam Lapidus (O'Malley) (016), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Hugh R. McCombs (O'Malley) (017), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate La Shawn K. Ford (Sanders) (018), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Robert J. Peters (Sanders) (019), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Melissa Parks (Sanders) (020), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Robert Angert George (Sanders) (021), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Martin Ritter (Sanders) (022), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Jan Rodolfo (Sanders) (023), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Willie Mack (Sanders) (024), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Tara S. Stamps (Sanders) (025), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Brianna Tong (Sanders) (026), DEM party, in race Delegate, National Convention 7th DEM (0025) with 0 votes
Parsed result for candidate Voda Ebeling (Clinton) (001), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Michael Cabonargi (Clinton) (002), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Lakshmi Lakshmanan (Clinton) (003), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Rick Garcia (Clinton) (004), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Josina Morita (Clinton) (005), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Lou Lang (Clinton) (006), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Heather A. Steans (Clinton) (007), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Devlin Kane (O'Malley) (008), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate David Hatch (Sanders) (009), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Sharon Sanders (Sanders) (010), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Ed Mullen (Sanders) (011), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Kathleen Hogan (Sanders) (012), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Michael J. Harrington (Sanders) (013), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Mary Rita Luecke (Sanders) (014), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Ayo Maat (Sanders) (015), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Dan Johnson (Sanders) (016), DEM party, in race Delegate, National Convention 9th DEM (0026) with 0 votes
Parsed result for candidate Antonio ''Tony'' Munoz (001), DEM party, in race State Senator, 1st District 4yr (0027) with 0 votes
Parsed result for candidate Angelica Alfaro (001), DEM party, in race State Senator, 2nd District 2yr (0028) with 0 votes
Parsed result for candidate Omar Aquino (002), DEM party, in race State Senator, 2nd District 2yr (0028) with 0 votes
Parsed result for candidate Kimberly A. Lightford (001), DEM party, in race State Senator, 4th District 4yr (0029) with 0 votes
Parsed result for candidate Patricia Van Pelt (001), DEM party, in race State Senator, 5th District 2yr (0030) with 0 votes
Parsed result for candidate Robert ''Bob'' Fioretti (002), DEM party, in race State Senator, 5th District 2yr (0030) with 0 votes
Parsed result for candidate Heather A. Steans (001), DEM party, in race State Senator, 7th District 4yr (0031) with 0 votes
Parsed result for candidate Ira I. Silverstein (001), DEM party, in race State Senator, 8th District 2yr (0032) with 0 votes
Parsed result for candidate John G. Mulroe (001), DEM party, in race State Senator, 10th District 4yr (0033) with 0 votes
Parsed result for candidate Martin A. Sandoval (001), DEM party, in race State Senator, 11th District 2yr (0034) with 0 votes
Parsed result for candidate Kwame Raoul (001), DEM party, in race State Senator, 13th District 4yr (0035) with 0 votes
Parsed result for candidate Emil Jones III (001), DEM party, in race State Senator, 14th District 2yr (0036) with 0 votes
Parsed result for candidate Jacqueline ''Jacqui'' Collins (001), DEM party, in race State Senator, 16th District 4yr (0037) with 0 votes
Parsed result for candidate Donne E. Trotter (001), DEM party, in race State Senator, 17th District 2yr (0038) with 0 votes
Parsed result for candidate Iris Y. Martinez (001), DEM party, in race State Senator, 20th District 2yr (0039) with 0 votes
Parsed result for candidate Laura Murphy (001), DEM party, in race State Senator, 28th District 4yr (0040) with 0 votes
Parsed result for candidate Daniel J. Burke (001), DEM party, in race State Representative, 1st District (0041) with 0 votes
Parsed result for candidate Theresa Mah (001), DEM party, in race State Representative, 2nd District (0042) with 0 votes
Parsed result for candidate Alexander ''Alex'' Acevedo (002), DEM party, in race State Representative, 2nd District (0042) with 0 votes
Parsed result for candidate Luis Arroyo (001), DEM party, in race State Representative, 3rd District (0043) with 0 votes
Parsed result for candidate Cynthia Soto (001), DEM party, in race State Representative, 4th District (0044) with 0 votes
Parsed result for candidate Robert Zwolinski (Bob Z) (002), DEM party, in race State Representative, 4th District (0044) with 0 votes
Parsed result for candidate Kenneth ''Ken'' Dunkin (001), DEM party, in race State Representative, 5th District (0045) with 0 votes
Parsed result for candidate Juliana Stratton (002), DEM party, in race State Representative, 5th District (0045) with 0 votes
Parsed result for candidate Darryl D. Smith (001), DEM party, in race State Representative, 6th District (0046) with 0 votes
Parsed result for candidate Kenyatta Nicole Vaughn (002), DEM party, in race State Representative, 6th District (0046) with 0 votes
Parsed result for candidate Genita C. Robinson (003), DEM party, in race State Representative, 6th District (0046) with 0 votes
Parsed result for candidate Sonya Marie Harper (004), DEM party, in race State Representative, 6th District (0046) with 0 votes
Parsed result for candidate La Shawn K. Ford (001), DEM party, in race State Representative, 8th District (0047) with 0 votes
Parsed result for candidate Arthur Turner (001), DEM party, in race State Representative, 9th District (0048) with 0 votes
Parsed result for candidate Melissa Conyears (001), DEM party, in race State Representative, 10th District (0049) with 0 votes
Parsed result for candidate Ann M. Williams (001), DEM party, in race State Representative, 11th District (0050) with 0 votes
Parsed result for candidate Sara Feigenholtz (001), DEM party, in race State Representative, 12th District (0051) with 0 votes
Parsed result for candidate Gregory Harris (001), DEM party, in race State Representative, 13th District (0052) with 0 votes
Parsed result for candidate Kelly M. Cassidy (001), DEM party, in race State Representative, 14th District (0053) with 0 votes
Parsed result for candidate John C. D'Amico (001), DEM party, in race State Representative, 15th District (0054) with 0 votes
Parsed result for candidate Jac Charlier (002), DEM party, in race State Representative, 15th District (0054) with 0 votes
Parsed result for candidate Lou Lang (001), DEM party, in race State Representative, 16th District (0055) with 0 votes
Parsed result for candidate Robert Martwick (001), DEM party, in race State Representative, 19th District (0056) with 0 votes
Parsed result for candidate Merry Marwig (001), DEM party, in race State Representative, 20th District (0057) with 0 votes
Parsed result for candidate Silvana Tabares (001), DEM party, in race State Representative, 21st District (0058) with 0 votes
Parsed result for candidate Michael J. Madigan (001), DEM party, in race State Representative, 22nd District (0059) with 0 votes
Parsed result for candidate Jason Gonzales (002), DEM party, in race State Representative, 22nd District (0059) with 0 votes
Parsed result for candidate Joe G. Barboza (003), DEM party, in race State Representative, 22nd District (0059) with 0 votes
Parsed result for candidate Grasiela Rodriguez (004), DEM party, in race State Representative, 22nd District (0059) with 0 votes
Parsed result for candidate Michael J. Zalewski (001), DEM party, in race State Representative, 23rd District (0060) with 0 votes
Parsed result for candidate Elizabeth ''Lisa'' Hernandez (001), DEM party, in race State Representative, 24th District (0061) with 0 votes
Parsed result for candidate Barbara Flynn Currie (001), DEM party, in race State Representative, 25th District (0062) with 0 votes
Parsed result for candidate Jhatayn 'Jay' Travis (001), DEM party, in race State Representative, 26th District (0063) with 0 votes
Parsed result for candidate Christian L. Mitchell (002), DEM party, in race State Representative, 26th District (0063) with 0 votes
Parsed result for candidate Monique D. Davis (001), DEM party, in race State Representative, 27th District (0064) with 0 votes
Parsed result for candidate Robert ''Bob'' Rita (001), DEM party, in race State Representative, 28th District (0065) with 0 votes
Parsed result for candidate Wilbur ''Will'' Tillman (001), DEM party, in race State Representative, 29th District (0066) with 0 votes
Parsed result for candidate Thaddeus Jones (002), DEM party, in race State Representative, 29th District (0066) with 0 votes
Parsed result for candidate Kenneth ''Kenny'' Williams (003), DEM party, in race State Representative, 29th District (0066) with 0 votes
Parsed result for candidate Mary E. Flowers (001), DEM party, in race State Representative, 31st District (0067) with 0 votes
Parsed result for candidate André Thapedi (001), DEM party, in race State Representative, 32nd District (0068) with 0 votes
Parsed result for candidate Marcus C. Evans, Jr. (001), DEM party, in race State Representative, 33rd District (0069) with 0 votes
Parsed result for candidate Elgie R. Sims, Jr. (001), DEM party, in race State Representative, 34th District (0070) with 0 votes
Parsed result for candidate Frances Ann Hurley (001), DEM party, in race State Representative, 35th District (0071) with 0 votes
Parsed result for candidate Kelly M. Burke (001), DEM party, in race State Representative, 36th District (0072) with 0 votes
Parsed result for candidate Will Guzzardi (001), DEM party, in race State Representative, 39th District (0073) with 0 votes
Parsed result for candidate Harish I. Patel (001), DEM party, in race State Representative, 40th District (0074) with 0 votes
Parsed result for candidate Jaime M. Andrade, Jr. (002), DEM party, in race State Representative, 40th District (0074) with 0 votes
Parsed result for candidate Martin J. Moylan (001), DEM party, in race State Representative, 55th District (0075) with 0 votes
Parsed result for candidate Camille Lilly (001), DEM party, in race State Representative, 78th District (0076) with 0 votes
Parsed result for candidate Kevin McDevitt (001), DEM party, in race Commissioner, Water Reclamation Dist (0077) with 0 votes
Parsed result for candidate Barbara McGowan (002), DEM party, in race Commissioner, Water Reclamation Dist (0077) with 0 votes
Parsed result for candidate Mariyana T. Spyropoulos (003), DEM party, in race Commissioner, Water Reclamation Dist (0077) with 0 votes
Parsed result for candidate Josina Morita (004), DEM party, in race Commissioner, Water Reclamation Dist (0077) with 0 votes
Parsed result for candidate R. Cary Capparelli (005), DEM party, in race Commissioner, Water Reclamation Dist (0077) with 0 votes
Parsed result for candidate Joseph Daniel Cook (006), DEM party, in race Commissioner, Water Reclamation Dist (0077) with 0 votes
Parsed result for candidate Andrew Seo (001), DEM party, in race Commissioner, Water Reclamation Dist 2yr (0078) with 0 votes
Parsed result for candidate Tom Greenhaw (002), DEM party, in race Commissioner, Water Reclamation Dist 2yr (0078) with 0 votes
Parsed result for candidate Martin J. Durkan (003), DEM party, in race Commissioner, Water Reclamation Dist 2yr (0078) with 0 votes
Parsed result for candidate Kim Foxx (001), DEM party, in race State's Attorney, Cook County (0079) with 0 votes
Parsed result for candidate Anita Alvarez (002), DEM party, in race State's Attorney, Cook County (0079) with 0 votes
Parsed result for candidate Donna More (003), DEM party, in race State's Attorney, Cook County (0079) with 0 votes
Parsed result for candidate Jacob Meister (001), DEM party, in race Clerk of the Circuit Court, Cook County (0080) with 0 votes
Parsed result for candidate Dorothy A. Brown (002), DEM party, in race Clerk of the Circuit Court, Cook County (0080) with 0 votes
Parsed result for candidate Michelle A. Harris (003), DEM party, in race Clerk of the Circuit Court, Cook County (0080) with 0 votes
Parsed result for candidate Karen A. Yarbrough (001), DEM party, in race Recorder of Deeds, Cook County (0081) with 0 votes
Parsed result for candidate No Candidate (001), DEM party, in race Board of Review, 1st District (0082) with 0 votes
Parsed result for candidate Michael Cabonargi (001), DEM party, in race Board of Review, 2nd District (0083) with 0 votes
Parsed result for candidate Eileen O'Neill Burke (001), DEM party, in race Appellate Court Judge (Vacancy of Epstein) (0084) with 0 votes
